matrix,field,rows,cols,rank,null_dim,weight,support,minimal
Hamming_3x7,2,3,7,3,4,3,"[0, 1, 2]",True
Hamming_3x7,2,3,7,3,4,3,"[0, 3, 4]",True
Hamming_3x7,2,3,7,3,4,3,"[0, 5, 6]",True
Hamming_3x7,2,3,7,3,4,3,"[1, 3, 5]",True
Hamming_3x7,2,3,7,3,4,3,"[1, 4, 6]",True
Hamming_3x7,2,3,7,3,4,3,"[2, 3, 6]",True
Hamming_3x7,2,3,7,3,4,3,"[2, 4, 5]",True
Hamming_3x7,2,3,7,3,4,4,"[0, 1, 3, 6]",True
Hamming_3x7,2,3,7,3,4,4,"[0, 1, 4, 5]",True
Hamming_3x7,2,3,7,3,4,4,"[0, 2, 3, 5]",True
Hamming_3x7,2,3,7,3,4,4,"[0, 2, 4, 6]",True
Hamming_3x7,2,3,7,3,4,4,"[1, 2, 3, 4]",True
Hamming_3x7,2,3,7,3,4,4,"[1, 2, 5, 6]",True
Hamming_3x7,2,3,7,3,4,4,"[3, 4, 5, 6]",True
Ternary_2x4,3,2,4,2,2,3,"[0, 1, 2]",True
Ternary_2x4,3,2,4,2,2,3,"[0, 1, 3]",True
Ternary_2x4,3,2,4,2,2,3,"[0, 2, 3]",True
Ternary_2x4,3,2,4,2,2,3,"[1, 2, 3]",True
Random_4x10,2,4,10,4,6,2,"[0, 8]",True
Random_4x10,2,4,10,4,6,2,"[1, 2]",True
Random_4x10,2,4,10,4,6,2,"[3, 4]",True
Random_4x10,2,4,10,4,6,3,"[0, 3, 9]",True
Random_4x10,2,4,10,4,6,3,"[0, 4, 9]",True
Random_4x10,2,4,10,4,6,3,"[1, 3, 7]",True
Random_4x10,2,4,10,4,6,3,"[1, 4, 7]",True
Random_4x10,2,4,10,4,6,3,"[2, 3, 7]",True
Random_4x10,2,4,10,4,6,3,"[2, 4, 7]",True
Random_4x10,2,4,10,4,6,3,"[3, 8, 9]",True
Random_4x10,2,4,10,4,6,3,"[4, 8, 9]",True
Random_4x10,2,4,10,4,6,3,"[5, 6, 7]",True
Random_4x10,2,4,10,4,6,4,"[0, 1, 7, 9]",True
Random_4x10,2,4,10,4,6,4,"[0, 2, 7, 9]",True
Random_4x10,2,4,10,4,6,4,"[1, 3, 5, 6]",True
Random_4x10,2,4,10,4,6,4,"[1, 4, 5, 6]",True
Random_4x10,2,4,10,4,6,4,"[1, 7, 8, 9]",True
Random_4x10,2,4,10,4,6,4,"[2, 3, 5, 6]",True
Random_4x10,2,4,10,4,6,4,"[2, 4, 5, 6]",True
Random_4x10,2,4,10,4,6,4,"[2, 7, 8, 9]",True
Random_4x10,2,4,10,4,6,4,"[0, 1, 2, 8]",False
Random_4x10,2,4,10,4,6,4,"[0, 3, 4, 8]",False
Random_4x10,2,4,10,4,6,4,"[1, 2, 3, 4]",False
Random_4x10,2,4,10,4,6,5,"[0, 1, 5, 6, 9]",True
Random_4x10,2,4,10,4,6,5,"[0, 2, 5, 6, 9]",True
Random_4x10,2,4,10,4,6,5,"[1, 5, 6, 8, 9]",True
Random_4x10,2,4,10,4,6,5,"[2, 5, 6, 8, 9]",True
Random_4x10,2,4,10,4,6,5,"[0, 1, 2, 3, 9]",False
Random_4x10,2,4,10,4,6,5,"[0, 1, 2, 4, 9]",False
Random_4x10,2,4,10,4,6,5,"[0, 1, 3, 7, 8]",False
Random_4x10,2,4,10,4,6,5,"[0, 1, 4, 7, 8]",False
Random_4x10,2,4,10,4,6,5,"[0, 2, 3, 7, 8]",False
Random_4x10,2,4,10,4,6,5,"[0, 2, 4, 7, 8]",False
Random_4x10,2,4,10,4,6,5,"[0, 5, 6, 7, 8]",False
Random_4x10,2,4,10,4,6,5,"[1, 2, 3, 8, 9]",False
Random_4x10,2,4,10,4,6,5,"[1, 2, 4, 8, 9]",False
Random_4x10,2,4,10,4,6,5,"[1, 2, 5, 6, 7]",False
Random_4x10,2,4,10,4,6,5,"[3, 4, 5, 6, 7]",False
Random_4x10,2,4,10,4,6,6,"[0, 1, 2, 3, 4, 8]",False
Random_4x10,2,4,10,4,6,6,"[0, 1, 3, 4, 7, 9]",False
Random_4x10,2,4,10,4,6,6,"[0, 1, 3, 5, 6, 8]",False
Random_4x10,2,4,10,4,6,6,"[0, 1, 4, 5, 6, 8]",False
Random_4x10,2,4,10,4,6,6,"[0, 2, 3, 4, 7, 9]",False
Random_4x10,2,4,10,4,6,6,"[0, 2, 3, 5, 6, 8]",False
Random_4x10,2,4,10,4,6,6,"[0, 2, 4, 5, 6, 8]",False
Random_4x10,2,4,10,4,6,6,"[0, 3, 5, 6, 7, 9]",False
Random_4x10,2,4,10,4,6,6,"[0, 4, 5, 6, 7, 9]",False
Random_4x10,2,4,10,4,6,6,"[1, 3, 4, 7, 8, 9]",False
Random_4x10,2,4,10,4,6,6,"[2, 3, 4, 7, 8, 9]",False
Random_4x10,2,4,10,4,6,6,"[3, 5, 6, 7, 8, 9]",False
Random_4x10,2,4,10,4,6,6,"[4, 5, 6, 7, 8, 9]",False
